CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	7	1434	0.49	1441
2	8	1103	0.72	1111
3	14	1561	0.89	1575
4	13	1575	0.82	1588
5	9	1507	0.59	1516
6	8	1611	0.49	1619
7	17	1410	1.19	1427
8	8	1549	0.51	1557
9	15	1512	0.98	1527
10	7	1508	0.46	1515
11	9	1469	0.61	1478
12	7	1502	0.46	1509
13	6	1398	0.43	1404
14	3	1411	0.21	1414
15	6	1538	0.39	1544
16	4	1451	0.27	1455
17	9	1477	0.61	1486
18	8	1526	0.52	1534
19	4	1555	0.26	1559
20	17	1455	1.15	1472
21	7	1481	0.47	1488
22	5	1521	0.33	1526
23	6	1514	0.39	1520
24	7	1537	0.45	1544
25	6	1540	0.39	1546
26	6	1450	0.41	1456
27	5	1535	0.32	1540
28	8	1484	0.54	1492
29	8	1537	0.52	1545
30	10	1536	0.65	1546
31	3	1519	0.20	1522
32	13	1499	0.86	1512
33	9	1560	0.57	1569
34	14	1452	0.95	1466
35	5	1480	0.34	1485
36	3	1598	0.19	1601
37	7	1485	0.47	1492
38	7	1523	0.46	1530
39	10	1527	0.65	1537
40	12	1525	0.78	1537
41	5	1551	0.32	1556
42	7	1525	0.46	1532
43	6	1505	0.40	1511
44	11	1525	0.72	1536
45	6	1453	0.41	1459
46	12	1477	0.81	1489
47	6	1540	0.39	1546
48	7	1548	0.45	1555
49	3	1545	0.19	1548
50	10	1524	0.65	1534
51	8	1572	0.51	1580
52	14	1580	0.88	1594
53	9	1549	0.58	1558
54	12	1555	0.77	1567
55	11	1555	0.70	1566
56	6	1463	0.41	1469
57	9	1528	0.59	1537
58	12	1544	0.77	1556
59	14	1495	0.93	1509
60	12	1551	0.77	1563
61	7	1544	0.45	1551
62	7	1517	0.46	1524
63	10	1521	0.65	1531
64	7	1570	0.44	1577
65	5	1546	0.32	1551
66	7	1562	0.45	1569
67	13	1561	0.83	1574
68	4	1491	0.27	1495
69	14	1557	0.89	1571
70	7	1552	0.45	1559
71	8	1514	0.53	1522
72	3	1484	0.20	1487
73	8	1525	0.52	1533
74	13	1502	0.86	1515
75	5	1505	0.33	1510
76	11	1572	0.69	1583
77	11	1494	0.73	1505
78	4	1608	0.25	1612
79	14	1493	0.93	1507
80	7	1463	0.48	1470
81	9	1548	0.58	1557
82	7	1485	0.47	1492
83	7	1484	0.47	1491
84	5	1517	0.33	1522
85	9	1524	0.59	1533
86	6	1496	0.40	1502
87	9	1569	0.57	1578
88	8	1545	0.52	1553
89	10	1465	0.68	1475
