CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	263	23696	1.10	23959
2	140	16512	0.84	16652
3	248	23165	1.06	23413
4	191	22351	0.85	22542
5	201	22198	0.90	22399
6	192	23481	0.81	23673
7	184	21749	0.84	21933
8	166	22313	0.74	22479
9	175	23219	0.75	23394
10	172	22757	0.75	22929
11	149	22199	0.67	22348
12	150	23193	0.64	23343
13	153	22531	0.67	22684
14	128	22212	0.57	22340
15	169	22868	0.73	23037
16	150	22483	0.66	22633
17	142	22495	0.63	22637
18	161	23202	0.69	23363
19	149	22806	0.65	22955
20	149	22620	0.65	22769
21	164	22784	0.71	22948
22	127	22729	0.56	22856
23	134	22822	0.58	22956
24	152	23119	0.65	23271
25	159	22460	0.70	22619
26	156	22815	0.68	22971
27	161	23265	0.69	23426
28	130	22805	0.57	22935
29	123	22497	0.54	22620
30	123	23300	0.53	23423
31	137	23063	0.59	23200
32	132	22731	0.58	22863
33	144	23388	0.61	23532
34	238	22628	1.04	22866
35	158	22682	0.69	22840
36	127	23163	0.55	23290
37	182	22726	0.79	22908
38	136	22710	0.60	22846
39	155	23008	0.67	23163
40	152	23186	0.65	23338
41	154	22666	0.67	22820
42	188	23394	0.80	23582
43	125	22761	0.55	22886
44	146	22773	0.64	22919
45	142	23110	0.61	23252
46	160	22934	0.69	23094
47	141	22894	0.61	23035
48	127	23115	0.55	23242
49	143	23063	0.62	23206
50	130	22775	0.57	22905
51	144	23417	0.61	23561
52	151	23203	0.65	23354
53	164	22918	0.71	23082
54	136	23216	0.58	23352
55	137	22867	0.60	23004
56	141	22914	0.61	23055
57	169	23330	0.72	23499
58	126	22951	0.55	23077
59	153	22585	0.67	22738
60	154	23366	0.65	23520
61	126	23130	0.54	23256
62	127	23056	0.55	23183
63	137	23153	0.59	23290
64	150	22728	0.66	22878
65	139	22780	0.61	22919
66	139	23179	0.60	23318
67	137	22649	0.60	22786
68	131	22841	0.57	22972
69	135	23071	0.58	23206
70	123	22751	0.54	22874
71	137	22852	0.60	22989
72	146	23180	0.63	23326
73	150	23121	0.64	23271
74	144	22874	0.63	23018
75	151	23320	0.64	23471
76	132	22715	0.58	22847
77	154	22679	0.67	22833
78	143	23222	0.61	23365
79	138	22782	0.60	22920
80	131	22866	0.57	22997
81	138	23142	0.59	23280
82	153	22708	0.67	22861
83	136	22718	0.60	22854
84	136	23107	0.59	23243
85	159	23165	0.68	23324
86	122	22465	0.54	22587
87	145	22834	0.63	22979
88	128	22920	0.56	23048
89	132	22588	0.58	22720
90	140	22916	0.61	23056
91	133	22925	0.58	23058
92	152	22578	0.67	22730
93	139	22945	0.60	23084
94	141	22829	0.61	22970
95	152	23079	0.65	23231
96	146	23112	0.63	23258
97	131	22500	0.58	22631
98	161	22410	0.71	22571
99	154	23050	0.66	23204
100	174	22620	0.76	22794

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	177	20013	0.88	20190
2	160	17779	0.89	17939
3	231	20553	1.11	20784
4	152	20653	0.73	20805
5	185	21123	0.87	21308
6	192	20706	0.92	20898
7	160	20406	0.78	20566
8	180	21227	0.84	21407
9	202	20994	0.95	21196
10	167	20721	0.80	20888
11	162	21033	0.76	21195
12	152	20868	0.72	21020
13	145	20496	0.70	20641
14	137	20961	0.65	21098
15	149	21112	0.70	21261
16	164	20869	0.78	21033
17	134	21460	0.62	21594
18	130	21096	0.61	21226
19	135	21050	0.64	21185
20	201	20446	0.97	20647
21	212	20819	1.01	21031
22	169	21022	0.80	21191
23	160	21451	0.74	21611
24	131	21161	0.62	21292
25	160	21134	0.75	21294
26	151	20959	0.72	21110
27	168	20968	0.79	21136
28	156	21230	0.73	21386
29	141	21429	0.65	21570
30	158	21218	0.74	21376
31	134	21262	0.63	21396
32	169	20924	0.80	21093
33	152	20997	0.72	21149
34	246	20629	1.18	20875
35	176	20824	0.84	21000
36	157	21207	0.73	21364
37	194	21001	0.92	21195
38	144	21470	0.67	21614
39	176	21087	0.83	21263
40	149	21343	0.69	21492
41	166	21439	0.77	21605
42	138	21189	0.65	21327
43	143	20906	0.68	21049
44	151	21064	0.71	21215
45	156	21267	0.73	21423
46	198	20908	0.94	21106
47	151	21328	0.70	21479
48	147	21368	0.68	21515
49	174	21097	0.82	21271
50	189	21282	0.88	21471
51	162	21594	0.74	21756
52	157	21344	0.73	21501
53	157	21522	0.72	21679
54	152	21036	0.72	21188
55	158	21074	0.74	21232
56	129	21174	0.61	21303
57	165	21119	0.78	21284
58	160	21017	0.76	21177
59	191	21371	0.89	21562
60	163	21280	0.76	21443
61	161	21183	0.75	21344
62	173	21186	0.81	21359
63	139	21188	0.65	21327
64	136	21081	0.64	21217
65	146	21155	0.69	21301
