CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	99	8103	1.21	8202
2	92	11300	0.81	11392
3	72	8916	0.80	8988
4	70	7643	0.91	7713
5	72	9133	0.78	9205
6	87	9071	0.95	9158
7	78	9057	0.85	9135
8	83	9036	0.91	9119
9	78	8720	0.89	8798
10	79	9096	0.86	9175
11	65	8832	0.73	8897
12	57	8757	0.65	8814
13	70	8669	0.80	8739
14	78	8673	0.89	8751
15	63	8865	0.71	8928
16	74	8580	0.86	8654
17	57	8903	0.64	8960
18	62	8726	0.71	8788
19	69	8904	0.77	8973
20	57	8940	0.63	8997
21	66	8768	0.75	8834
22	57	8792	0.64	8849
23	67	8610	0.77	8677
24	71	8825	0.80	8896
25	51	8703	0.58	8754
26	71	8733	0.81	8804
27	65	8845	0.73	8910
28	76	8743	0.86	8819
29	58	8711	0.66	8769
30	71	8836	0.80	8907
31	60	8796	0.68	8856
32	69	8875	0.77	8944
33	55	8831	0.62	8886
34	56	8738	0.64	8794
35	65	8742	0.74	8807
36	81	8615	0.93	8696
37	59	8781	0.67	8840
38	74	8724	0.84	8798
39	58	8643	0.67	8701
40	58	8683	0.66	8741
41	63	8584	0.73	8647
42	62	8679	0.71	8741
43	72	8762	0.82	8834
44	67	8537	0.78	8604
45	72	8683	0.82	8755
46	50	8604	0.58	8654
47	66	8744	0.75	8810
48	57	8679	0.65	8736
49	58	8687	0.66	8745
50	66	8568	0.76	8634
51	80	8606	0.92	8686
52	66	8582	0.76	8648
53	63	8644	0.72	8707
54	56	8543	0.65	8599
55	68	8539	0.79	8607
56	65	8560	0.75	8625
57	71	8401	0.84	8472
58	64	8400	0.76	8464
59	65	8607	0.75	8672
60	67	8539	0.78	8606
61	61	8384	0.72	8445
62	61	8565	0.71	8626
63	48	8317	0.57	8365
64	55	8422	0.65	8477
65	59	8654	0.68	8713
66	66	8347	0.78	8413
67	57	8351	0.68	8408
68	59	8416	0.70	8475
69	65	8219	0.78	8284
70	70	8256	0.84	8326
71	73	8379	0.86	8452
72	52	8249	0.63	8301
73	59	8416	0.70	8475
74	86	8276	1.03	8362
75	60	8291	0.72	8351
76	52	8321	0.62	8373
77	73	8366	0.87	8439
78	66	8254	0.79	8320
79	57	8195	0.69	8252
80	66	8161	0.80	8227
81	68	8058	0.84	8126
82	66	8352	0.78	8418
83	73	8232	0.88	8305
84	72	8122	0.88	8194
85	68	8238	0.82	8306
86	70	8145	0.85	8215
87	56	8179	0.68	8235
88	53	8091	0.65	8144
89	73	8030	0.90	8103
90	73	8120	0.89	8193
91	71	8076	0.87	8147
92	75	7949	0.93	8024
93	63	7956	0.79	8019
94	71	7924	0.89	7995
95	56	8036	0.69	8092
96	79	7766	1.01	7845
97	57	7748	0.73	7805
98	65	7913	0.81	7978
99	64	7842	0.81	7906
100	60	7744	0.77	7804
