CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
91	79738	2177512	3.53	2257250
92	79759	2175651	3.54	2255410
93	80365	2171742	3.57	2252107
94	80801	2163725	3.60	2244526
95	80579	2157276	3.60	2237855
96	81069	2161152	3.62	2242221
97	80826	2163845	3.60	2244671
98	80614	2162150	3.59	2242764
99	81283	2166411	3.62	2247694
100	81566	2159585	3.64	2241151

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	11074	884539	1.24	895613
2	16039	564369	2.76	580408
3	157736	299998	34.46	457734
4	238659	334771	41.62	573430
5	248936	317757	43.93	566693
6	241807	309368	43.87	551175
7	247224	319902	43.59	567126
8	215222	307005	41.21	522227
9	228317	305863	42.74	534180
10	229275	308889	42.60	538164
11	222744	303322	42.34	526066
12	220966	297906	42.59	518872
13	223917	301379	42.63	525296
14	220349	298088	42.50	518437
15	218787	294368	42.64	513155
16	222752	297203	42.84	519955
17	220847	295048	42.81	515895
18	221910	291122	43.25	513032
19	223890	293506	43.27	517396
20	218496	295086	42.54	513582
21	218478	293158	42.70	511636
22	219989	295242	42.70	515231
23	219855	291997	42.95	511852
24	218683	290496	42.95	509179
25	218865	292124	42.83	510989
26	218884	291086	42.92	509970
27	217982	289332	42.97	507314
28	218960	290890	42.95	509850
29	218574	289441	43.03	508015
30	217926	285668	43.27	503594
31	217908	288998	42.99	506906
32	218748	285413	43.39	504161
33	218049	282970	43.52	501019
34	219742	283757	43.64	503499
35	219767	281378	43.85	501145
36	219302	278222	44.08	497524
37	221503	279974	44.17	501477
38	221253	277345	44.38	498598
39	222255	275819	44.62	498074
40	223474	276000	44.74	499474
41	221345	273900	44.69	495245
42	223038	272230	45.03	495268
43	223354	271798	45.11	495152
44	222417	270851	45.09	493268
45	223073	268786	45.35	491859
46	223639	269289	45.37	492928
47	222373	267739	45.37	490112
48	223714	265074	45.77	488788
49	223634	267033	45.58	490667
50	223637	265935	45.68	489572
51	222831	263636	45.81	486467
52	223014	264880	45.71	487894
53	222916	263465	45.83	486381
54	221920	261194	45.94	483114
55	221483	262878	45.73	484361
56	221795	261901	45.85	483696
57	221616	260079	46.01	481695
58	221582	261764	45.84	483346
59	221148	260686	45.90	481834
60	220383	259229	45.95	479612
61	221480	260626	45.94	482106
62	219244	258685	45.87	477929
63	218762	256938	45.99	475700
64	220509	258673	46.02	479182
65	218687	256636	46.01	475323
66	218801	256022	46.08	474823
67	220521	256875	46.19	477396
68	218030	256225	45.97	474255
69	216743	253895	46.05	470638
70	218616	256151	46.05	474767
71	216967	254751	46.00	471718
72	216375	252384	46.16	468759
73	217387	254322	46.08	471709
74	215286	252032	46.07	467318
75	215126	251136	46.14	466262
76	214650	252845	45.91	467495
77	213736	251095	45.98	464831
78	212735	248520	46.12	461255
79	214084	251787	45.95	465871
80	212244	250874	45.83	463118
81	212974	248488	46.15	461462
82	212436	249961	45.94	462397
83	210901	247802	45.98	458703
84	209900	245732	46.07	455632
85	211328	247568	46.05	458896
86	208997	246011	45.93	455008
87	209270	244052	46.16	453322
88	209617	246377	45.97	455994
89	207766	244378	45.95	452144
90	207298	244173	45.92	451471
91	208621	243918	46.10	452539
92	206854	243852	45.90	450706
93	206150	239940	46.21	446090
94	206036	242872	45.90	448908
95	204716	241309	45.90	446025
96	204253	239171	46.06	443424
97	204428	240660	45.93	445088
98	204347	238890	46.10	443237
99	203407	236604	46.23	440011
100	204133	238527	46.12	442660

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	6210	509383	1.20	515593
2	14928	634252	2.30	649180
3	44886	500198	8.23	545084
4	88728	384634	18.74	473362
5	91652	449894	16.92	541546
6	93692	449461	17.25	543153
7	93989	447110	17.37	541099
8	90932	445962	16.94	536894
