CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	326864	331203	49.67	658067
2	311271	244461	56.01	555732
3	365922	345186	51.46	711108
4	341847	344546	49.80	686393
5	347307	333522	51.01	680829
6	357791	351752	50.43	709543
7	331720	326574	50.39	658294
8	338839	334697	50.31	673536
9	347820	344868	50.21	692688
10	336520	337167	49.95	673687
11	334258	335076	49.94	669334
12	343028	342634	50.03	685662
13	334815	335112	49.98	669927
14	337401	334373	50.23	671774
15	334943	342530	49.44	677473
16	336888	337463	49.96	674351
17	341194	337841	50.25	679035
18	343514	345928	49.82	689442
19	337934	345109	49.47	683043
20	342504	340389	50.15	682893
21	344784	346795	49.85	691579
22	341660	343149	49.89	684809
23	338340	341528	49.77	679868
24	338152	347948	49.29	686100
25	336704	343424	49.51	680128
26	334963	342873	49.42	677836
27	338211	349126	49.21	687337
28	335384	346163	49.21	681547
29	333097	345988	49.05	679085
30	338598	352468	49.00	691066
31	338713	348827	49.26	687540
32	337230	345370	49.40	682600
33	339714	350565	49.21	690279
34	336405	345873	49.31	682278
35	335603	343933	49.39	679536
36	336982	350360	49.03	687342
37	336262	344560	49.39	680822
38	336454	346038	49.30	682492
39	338265	352053	49.00	690318
40	335567	348873	49.03	684440
41	337660	347485	49.28	685145
42	335464	352586	48.76	688050
43	336158	348469	49.10	684627
44	335482	346244	49.21	681726
45	334629	352139	48.73	686768
46	335681	345475	49.28	681156
47	332498	347650	48.89	680148
48	335175	353843	48.65	689018
49	335526	349521	48.98	685047
50	334971	347380	49.09	682351
51	335986	353466	48.73	689452
52	335935	350331	48.95	686266
53	335841	348789	49.05	684630
54	336071	351819	48.86	687890
55	333537	348992	48.87	682529
56	333474	347164	48.99	680638
57	334125	352499	48.66	686624
58	332861	349601	48.77	682462
59	335250	348581	49.03	683831
60	337447	354414	48.77	691861
61	335449	350505	48.90	685954
62	335101	350464	48.88	685565
63	337521	353559	48.84	691080
64	335586	350396	48.92	685982
65	333695	349696	48.83	683391
66	337361	352016	48.94	689377
67	333033	349693	48.78	682726
68	332001	348277	48.80	680278
69	336105	354595	48.66	690700
70	335441	352486	48.76	687927
71	334418	350072	48.86	684490
72	336972	355195	48.68	692167
73	335228	351027	48.85	686255
74	334438	349367	48.91	683805
75	335367	351954	48.79	687321
76	334440	351273	48.77	685713
77	334325	349177	48.91	683502
78	336115	353259	48.76	689374
79	333213	352328	48.61	685541
80	335532	349892	48.95	685424
81	336219	353410	48.75	689629
82	335735	351751	48.84	687486
83	336637	350122	49.02	686759
84	337985	353340	48.89	691325
85	336563	351367	48.92	687930
86	335322	349129	48.99	684451
87	337572	352280	48.93	689852
88	334719	350659	48.84	685378
89	333705	349187	48.87	682892
90	335926	354396	48.66	690322
91	335531	351953	48.81	687484
92	336297	351782	48.87	688079
93	338373	355194	48.79	693567
94	336844	353120	48.82	689964
95	337034	350903	48.99	687937
96	338244	354894	48.80	693138
97	335735	349852	48.97	685587
98	333612	349268	48.85	682880
99	335951	353598	48.72	689549
100	334966	350859	48.84	685825
